"date","gas_cons","log_gas_cons"
"1985-04-15",396625,12.8907465288855
"1985-05-15",212164,12.2651148394972
"1985-06-15",156549,11.9611243389986
"1985-07-15",129851,11.7741429182549
"1985-08-15",118932,11.6863071801947
"1985-09-15",129314,11.7699988342273
"1985-10-15",189799,12.1537208964402
"1985-11-15",306427,12.6327348330707
"1985-12-15",646863,13.3798898045392
"1986-01-15",790569,13.5805082183499
"1986-02-15",684541,13.4365038196524
"1986-03-15",579901,13.2706126782983
"1986-04-15",363277,12.8029209076448
"1986-05-15",236207,12.372463818208
"1986-06-15",154889,11.9504640103262
"1986-07-15",126494,11.7479501551948
"1986-08-15",117487,11.6740829681476
"1986-09-15",130597,11.7798715246571
"1986-10-15",185265,12.1295425115402
"1986-11-15",345659,12.753208018934
"1986-12-15",599085,13.3031587702022
"1987-01-15",741338,13.5162119406287
"1987-02-15",688699,13.4425595895207
"1987-03-15",575299,13.2626451846263
"1987-04-15",401848,12.903829186647
"1987-05-15",222779,12.3139355276558
"1987-06-15",146812,11.8969081356909
"1987-07-15",125625,11.7410565577955
"1987-08-15",117471,11.6739467735935
"1987-09-15",126348,11.7467952836448
"1987-10-15",222825,12.3141419889989
"1987-11-15",354076,12.777266858339
"1987-12-15",591715,13.2907803790279
"1988-01-15",852076,13.6554310037111
"1988-02-15",754526,13.5338450165035
"1988-03-15",596846,13.2994144026493
"1988-04-15",400177,12.8996622282159
"1988-05-15",257781,12.4598656662281
"1988-06-15",152204,11.9329770052733
"1988-07-15",122908,11.7191913870076
"1988-08-15",114411,11.6475525071515
"1988-09-15",124739,11.7339788333733
"1988-10-15",232157,12.3551691459118
"1988-11-15",391420,12.877536431259
"1988-12-15",631086,13.3551974238371
"1989-01-15",751166,13.529381944936
"1989-02-15",743050,13.5185186161867
"1989-03-15",645859,13.3783364926873
"1989-04-15",414487,12.9347968899776
"1989-05-15",256551,12.4550827542382
"1989-06-15",155449,11.9540729825296
"1989-07-15",128662,11.7649440896911
"1989-08-15",121009,11.7036202019781
"1989-09-15",139486,11.8457195167844
"1989-10-15",228672,12.3400439413831
"1989-11-15",405314,12.9124173543342
"1989-12-15",790934,13.5809698045834
"1990-01-15",788596,13.5780094281328
"1990-02-15",642665,13.3733788721202
"1990-03-15",551987,13.2212797742573
"1990-04-15",399624,12.8982793840131
"1990-05-15",248272,12.4222801983233
"1990-06-15",160823,11.9880596603244
"1990-07-15",126501,11.7480054922568
"1990-08-15",121276,11.705824218802
"1990-09-15",132115,11.7914280344047
"1990-10-15",213538,12.2715700817617
"1990-11-15",375652,12.836418461888
"1990-12-15",630275,13.3539115110623
"1991-01-15",843832,13.6457087016319
"1991-02-15",664218,13.4063656878286
"1991-03-15",573093,13.258803286192
"1991-04-15",372922,12.8291245614768
"1991-05-15",228742,12.3403500098486
"1991-06-15",147839,11.9038791227834
"1991-07-15",126156,11.7452745153638
"1991-08-15",117851,11.677176393691
"1991-09-15",137994,11.8349654849333
"1991-10-15",225108,12.3243355660234
"1991-11-15",459455,13.0377962834468
"1991-12-15",658449,13.397642348419
"1992-01-15",785718,13.5743532284089
"1992-02-15",696082,13.4532227484687
"1992-03-15",573979,13.2603480892666
"1992-04-15",431401,12.9747933309688
"1992-05-15",251416,12.434864216709
"1992-06-15",162378,11.9976822295528
"1992-07-15",131801,11.7890484882752
"1992-08-15",125580,11.7406982846681
"1992-09-15",137106,11.828509628269
"1992-10-15",240662,12.3911487384371
"1992-11-15",436771,12.9871643092674
"1992-12-15",717170,13.4830681905019
"1993-01-15",830874,13.6302334377927
"1993-02-15",768365,13.552020159646
"1993-03-15",703183,13.4633724498618
"1993-04-15",449738,13.0164204699671
"1993-05-15",232154,12.3551562235387
"1993-06-15",163642,12.0054363939193
"1993-07-15",129719,11.77312585148
"1993-08-15",120331,11.6980015578772
"1993-09-15",141580,11.8606202073282
"1993-10-15",254494,12.4470325390563
"1993-11-15",457330,13.0331605099436
"1993-12-15",705034,13.4660013075819
"1994-01-15",952520,13.7668663831379
"1994-02-15",841815,13.6433155541192
"1994-03-15",630616,13.3544523984322
"1994-04-15",392153,12.8794073487454
"1994-05-15",246872,12.416625262665
"1994-06-15",154411,11.9473731575584
"1994-07-15",126805,11.7504057523845
"1994-08-15",121952,11.7113828036736
"1994-09-15",130370,11.7781318406568
"1994-10-15",220553,12.3038933077983
"1994-11-15",391460,12.8776386180565
"1994-12-15",638175,13.3663678193859
"1995-01-15",815547,13.6116143327362
"1995-02-15",754491,13.5337986286895
"1995-03-15",600034,13.3047415992595
"1995-04-15",418820,12.9451965123301
"1995-05-15",260367,12.4698474531753
"1995-06-15",158908,11.9760806973871
"1995-07-15",130717,11.7807899600141
"1995-08-15",114415,11.6475874682136
"1995-09-15",133951,11.8052293404171
"1995-10-15",216412,12.2849392772821
"1995-11-15",488812,13.0997332364563
"1995-12-15",757844,13.5382328386945
"1996-01-15",933642,13.7468483460891
"1996-02-15",830912,13.6302791717199
"1996-03-15",705207,13.4662466557186
"1996-04-15",473842,13.068629211776
"1996-05-15",271486,12.5116658516491
"1996-06-15",162277,11.9970600305831
"1996-07-15",124371,11.7310243131397
"1996-08-15",118296,11.6809452370533
"1996-09-15",137556,11.831786385903
"1996-10-15",243121,12.4013145407773
"1996-11-15",502981,13.1283076750086
"1996-12-15",737722,13.5113223388488
"1997-01-15",902399,13.7128120515693
"1997-02-15",757457,13.5377220490779
"1997-03-15",605856,13.3143976130521
"1997-04-15",433073,12.9786615839987
"1997-05-15",283739,12.5558100805065
"1997-06-15",163591,12.0051246894126
"1997-07-15",127805,11.7582609437909
"1997-08-15",117900,11.6775920865255
"1997-09-15",129388,11.7705709210455
"1997-10-15",234223,12.3640289319848
"1997-11-15",497310,13.116968853087
"1997-12-15",731030,13.5022097775615
"1998-01-15",812108,13.6073886152256
"1998-02-15",691819,13.4470796396932
"1998-03-15",647619,13.3810578394534
"1998-04-15",407752,12.9184144254375
"1998-05-15",220830,12.3051484537209
"1998-06-15",152708,11.9362828801422
"1998-07-15",132390,11.7935073909317
"1998-08-15",116631,11.6667703837716
"1998-09-15",121417,11.7069861807528
"1998-10-15",202996,12.2209415533963
"1998-11-15",398094,12.8944434372848
"1998-12-15",615913,13.330860998775
"1999-01-15",911162,13.722475986997
"1999-02-15",689687,13.4439931504669
"1999-03-15",669270,13.4139428451348
"1999-04-15",420192,12.9484670286587
"1999-05-15",234764,12.3663360332049
"1999-06-15",158235,11.971836548784
"1999-07-15",126561,11.7484796843609
"1999-08-15",116231,11.6633348692315
"1999-09-15",134861,11.8119998973582
"1999-10-15",233508,12.3609716167462
"1999-11-15",371595,12.825559830503
"1999-12-15",659606,13.3993979660483
"2000-01-15",862900,13.6680540884964
"2000-02-15",775235,13.5609214881783
"2000-03-15",550261,13.2181479901021
"2000-04-15",400886,12.901432376594
"2000-05-15",228439,12.3390244952521
"2000-06-15",154183,11.9458954876006
"2000-07-15",128363,11.7626174667176
"2000-08-15",122408,11.7151150064016
"2000-09-15",140766,11.854854216273
"2000-10-15",235799,12.3707350261943
"2000-11-15",482600,13.0869434321731
"2000-12-15",914339,13.7259566788263
"2001-01-15",976677,13.7919112724739
"2001-02-15",780482,13.567666956532
"2001-03-15",681884,13.4326148343825
"2001-04-15",400728,12.9010381718969
"2001-05-15",209327,12.2516529015475
"2001-06-15",146837,11.8970784070016
"2001-07-15",123777,11.7262368384509
"2001-08-15",116934,11.6693649520501
"2001-09-15",127482,11.7557304571437
"2001-10-15",237466,12.377779734314
"2001-11-15",360721,12.7958600853244
"2001-12-15",609025,13.3196145967526
"2002-01-15",815227,13.6112218810487
"2002-02-15",712863,13.4770445350715
"2002-03-15",660430,13.4006464170103
"2002-04-15",415196,12.936505976876
"2002-05-15",255083,12.4493442613762
"2002-06-15",159973,11.9827603299761
"2002-07-15",125065,11.7365888811313
"2002-08-15",115678,11.6585657481698
"2002-09-15",123904,11.7272623511962
"2002-10-15",250573,12.431505574219
"2002-11-15",483192,13.0881693691743
"2002-12-15",771634,13.5562656233249
